"STATISTIC","STATISTIC Label","TLIST(A1)","Year","C02617V03175","Type of Journey","UNIT","VALUE"
"TCA01","Passenger Journeys by Rail (Thousand)","2009","2009","01","Mainline and other services","Number","8877"
"TCA01","Passenger Journeys by Rail (Thousand)","2009","2009","02","Dublin suburban services","Number","11768"
"TCA01","Passenger Journeys by Rail (Thousand)","2009","2009","03","DART","Number","17520"
"TCA01","Passenger Journeys by Rail (Thousand)","2009","2009","04","International journeys","Number","647"
"TCA01","Passenger Journeys by Rail (Thousand)","2010","2010","-","All journeys","Number","38070"
"TCA01","Passenger Journeys by Rail (Thousand)","2010","2010","01","Mainline and other services","Number","9697"
"TCA01","Passenger Journeys by Rail (Thousand)","2010","2010","02","Dublin suburban services","Number","10861"
"TCA01","Passenger Journeys by Rail (Thousand)","2010","2010","03","DART","Number","16793"
"TCA01","Passenger Journeys by Rail (Thousand)","2010","2010","04","International journeys","Number","719"
"TCA01","Passenger Journeys by Rail (Thousand)","2011","2011","-","All journeys","Number","37222"
"TCA01","Passenger Journeys by Rail (Thousand)","2011","2011","01","Mainline and other services","Number","10656"
"TCA01","Passenger Journeys by Rail (Thousand)","2011","2011","02","Dublin suburban services","Number","9911"
"TCA01","Passenger Journeys by Rail (Thousand)","2011","2011","03","DART","Number","15924"
"TCA01","Passenger Journeys by Rail (Thousand)","2011","2011","04","International journeys","Number","731"
"TCA01","Passenger Journeys by Rail (Thousand)","2012","2012","-","All journeys","Number","36740"
"TCA01","Passenger Journeys by Rail (Thousand)","2012","2012","01","Mainline and other services","Number","8189"
"TCA01","Passenger Journeys by Rail (Thousand)","2012","2012","02","Dublin suburban services","Number","12100"
"TCA01","Passenger Journeys by Rail (Thousand)","2012","2012","03","DART","Number","15565"
"TCA01","Passenger Journeys by Rail (Thousand)","2012","2012","04","International journeys","Number","886"
"TCA01","Passenger Journeys by Rail (Thousand)","2013","2013","-","All journeys","Number","36739"
"TCA01","Passenger Journeys by Rail (Thousand)","2013","2013","01","Mainline and other services","Number","8144"
"TCA01","Passenger Journeys by Rail (Thousand)","2013","2013","02","Dublin suburban services","Number","11730"
"TCA01","Passenger Journeys by Rail (Thousand)","2013","2013","03","DART","Number","15985"
"TCA01","Passenger Journeys by Rail (Thousand)","2013","2013","04","International journeys","Number","880"
"TCA01","Passenger Journeys by Rail (Thousand)","2014","2014","-","All journeys","Number","37804"
"TCA01","Passenger Journeys by Rail (Thousand)","2014","2014","01","Mainline and other services","Number","10230"
"TCA01","Passenger Journeys by Rail (Thousand)","2014","2014","02","Dublin suburban services","Number","10584"
"TCA01","Passenger Journeys by Rail (Thousand)","2014","2014","03","DART","Number","15949"
"TCA01","Passenger Journeys by Rail (Thousand)","2014","2014","04","International journeys","Number","1041"
"TCA01","Passenger Journeys by Rail (Thousand)","2015","2015","-","All journeys","Number","39660"
"TCA01","Passenger Journeys by Rail (Thousand)","2015","2015","01","Mainline and other services","Number","10490"
"TCA01","Passenger Journeys by Rail (Thousand)","2015","2015","02","Dublin suburban services","Number","10962"
"TCA01","Passenger Journeys by Rail (Thousand)","2015","2015","03","DART","Number","17150"
"TCA01","Passenger Journeys by Rail (Thousand)","2015","2015","04","International journeys","Number","1058"
"TCA01","Passenger Journeys by Rail (Thousand)","2016","2016","-","All journeys","Number","42815"
"TCA01","Passenger Journeys by Rail (Thousand)","2016","2016","01","Mainline and other services","Number","10772"
"TCA01","Passenger Journeys by Rail (Thousand)","2016","2016","02","Dublin suburban services","Number","11954"
"TCA01","Passenger Journeys by Rail (Thousand)","2016","2016","03","DART","Number","18987"
"TCA01","Passenger Journeys by Rail (Thousand)","2016","2016","04","International journeys","Number","1103"
"TCA01","Passenger Journeys by Rail (Thousand)","2017","2017","-","All journeys","Number","45505"
"TCA01","Passenger Journeys by Rail (Thousand)","2017","2017","01","Mainline and other services","Number","11557"
"TCA01","Passenger Journeys by Rail (Thousand)","2017","2017","02","Dublin suburban services","Number","12696"
"TCA01","Passenger Journeys by Rail (Thousand)","2017","2017","03","DART","Number","20077"
"TCA01","Passenger Journeys by Rail (Thousand)","2017","2017","04","International journeys","Number","1175"
